[2025-02-22 22:15:06,694] [INFO] STARTUP: Application starting
[2025-02-22 22:26:03,995] [INFO] STARTUP: Application starting
[2025-02-22 22:28:53,005] [INFO] STARTUP: Application starting
[2025-02-22 22:31:20,167] [INFO] STARTUP: Application starting
[2025-02-22 22:31:22,864] [DEBUG] SumatraPDF not found in registry
[2025-02-22 22:31:22,864] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 22:31:22,866] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 22:31:22,866] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 22:31:22,868] [INFO] STARTUP: Application initialized and ready
[2025-02-22 22:32:08,573] [INFO] CoinAcceptor initialized with port COM4, baudrate 9600
[2025-02-22 22:32:08,574] [INFO] Connecting to coin acceptor on port COM4
[2025-02-22 22:32:10,577] [DEBUG] Test read from coin acceptor: b'Coin Accep'
[2025-02-22 22:32:10,580] [INFO] Coin reading thread started
[2025-02-22 22:32:10,580] [INFO] Successfully connected to coin acceptor
[2025-02-22 22:32:10,583] [DEBUG] Received from coin acceptor: tor Ready
[2025-02-22 22:32:10,585] [INFO] Coin callback function set
[2025-02-22 22:32:10,586] [INFO] PAYMENT: Coin acceptor connected and ready
[2025-02-22 22:32:21,020] [DEBUG] Received from coin acceptor: COIN:1
[2025-02-22 22:32:21,187] [DEBUG] Received from coin acceptor: COIN:1
[2025-02-22 22:32:21,353] [DEBUG] Received from coin acceptor: COIN:1
[2025-02-22 22:32:21,570] [DEBUG] Received from coin acceptor: COIN:1
[2025-02-22 22:32:21,592] [INFO] Ignoring coin - payment already processing
[2025-02-22 22:32:21,693] [DEBUG] Received from coin acceptor: COIN:1
[2025-02-22 22:32:21,706] [INFO] Ignoring coin - payment already processing
[2025-02-22 22:32:21,821] [DEBUG] Received from coin acceptor: COIN:1
[2025-02-22 22:32:21,869] [INFO] Ignoring coin - payment already processing
[2025-02-22 22:32:21,971] [DEBUG] Received from coin acceptor: COIN:1
[2025-02-22 22:32:22,000] [INFO] Ignoring coin - payment already processing
[2025-02-22 22:32:22,102] [DEBUG] Received from coin acceptor: COIN:1
[2025-02-22 22:32:22,116] [INFO] Ignoring coin - payment already processing
[2025-02-22 22:32:22,218] [DEBUG] Received from coin acceptor: COIN:1
[2025-02-22 22:32:22,298] [INFO] Ignoring coin - payment already processing
[2025-02-22 22:32:22,400] [DEBUG] Received from coin acceptor: COIN:1
[2025-02-22 22:32:22,416] [INFO] Ignoring coin - payment already processing
[2025-02-22 22:32:23,473] [INFO] NAVIGATION: Proceeding to printing with 1 copies
[2025-02-22 22:32:23,474] [ERROR] CoinAcceptor: Invalid callback function (not callable)
[2025-02-22 22:32:23,667] [INFO] Printer status: {'code': 0, 'ready': True, 'details': {}}
[2025-02-22 22:32:23,669] [INFO] Printing PDF: C:/Users/Waren/Downloads/Chapter I - Guide for Embedded Systems Project.pdf
[2025-02-22 22:32:23,670] [INFO] Print command: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe -print-to EPSON L120 Series -print-settings copies=1 C:/Users/Waren/Downloads/Chapter I - Guide for Embedded Systems Project.pdf
[2025-02-22 22:32:26,710] [INFO] PRINT_JOB: Chapter I - Guide for Embedded Systems Project.pdf, 1 copies, 0 pages
[2025-02-22 22:32:26,714] [INFO] Print command sent successfully
[2025-02-22 22:36:16,449] [INFO] STARTUP: Application starting
[2025-02-22 22:36:19,108] [DEBUG] SumatraPDF not found in registry
[2025-02-22 22:36:19,109] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 22:36:19,109] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 22:36:19,110] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 22:36:19,111] [INFO] STARTUP: Application initialized and ready
[2025-02-22 22:52:04,563] [INFO] STARTUP: Application starting
[2025-02-22 22:52:07,286] [DEBUG] SumatraPDF not found in registry
[2025-02-22 22:52:07,286] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 22:52:07,288] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 22:52:07,289] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 22:52:07,293] [INFO] Connecting to Arduino on port COM4
[2025-02-22 22:52:07,295] [ERROR] ArduinoInterface: Error connecting to Arduino: could not open port 'COM4': PermissionError(13, 'Access is denied.', None, 5)
[2025-02-22 22:52:07,308] [INFO] STARTUP: Application initialized and ready
[2025-02-22 22:52:54,258] [ERROR] PAYMENT: Error setting up coin acceptor: 'PisoPrintSystem' object has no attribute 'coin_acceptor'
[2025-02-22 22:53:23,279] [INFO] NAVIGATION: Proceeding to printing with 1 copies
[2025-02-22 22:53:23,462] [INFO] Printer status: {'code': 0, 'ready': True, 'details': {}}
[2025-02-22 22:53:23,464] [INFO] Printing PDF: C:/Users/Waren/Downloads/Chapter III - Part2 Continuation_Guide for Embedded Systems Project - METHODOLOGY.pdf
[2025-02-22 22:53:23,465] [INFO] Print command: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe -print-to EPSON L120 Series -print-settings copies=1 C:/Users/Waren/Downloads/Chapter III - Part2 Continuation_Guide for Embedded Systems Project - METHODOLOGY.pdf
[2025-02-22 22:54:00,752] [INFO] PRINT_JOB: Chapter III - Part2 Continuation_Guide for Embedded Systems Project - METHODOLOGY.pdf, 1 copies, 0 pages
[2025-02-22 22:54:00,754] [INFO] Print command sent successfully
[2025-02-22 22:56:54,253] [INFO] STARTUP: Application starting
[2025-02-22 22:56:56,997] [DEBUG] SumatraPDF not found in registry
[2025-02-22 22:56:56,998] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 22:56:56,998] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 22:56:56,998] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 22:56:57,001] [INFO] Connecting to Arduino on port COM4
[2025-02-22 22:56:57,002] [ERROR] ArduinoInterface: Error connecting to Arduino: could not open port 'COM4': PermissionError(13, 'Access is denied.', None, 5)
[2025-02-22 22:56:57,015] [INFO] STARTUP: Application initialized and ready
[2025-02-22 22:58:42,034] [INFO] STARTUP: Application starting
[2025-02-22 22:58:44,739] [DEBUG] SumatraPDF not found in registry
[2025-02-22 22:58:44,739] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 22:58:44,740] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 22:58:44,740] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 22:58:44,742] [INFO] Connecting to Arduino on port COM4
[2025-02-22 22:58:44,743] [ERROR] ArduinoInterface: Error connecting to Arduino: could not open port 'COM4': PermissionError(13, 'Access is denied.', None, 5)
[2025-02-22 22:58:44,755] [INFO] STARTUP: Application initialized and ready
[2025-02-22 22:59:07,285] [ERROR] PAYMENT: Error setting up coin acceptor: 'PisoPrintSystem' object has no attribute 'coin_acceptor'
[2025-02-22 22:59:33,975] [INFO] PAYMENT: Payment cancelled. No coins inserted.
[2025-02-22 23:08:37,045] [INFO] STARTUP: Application starting
[2025-02-22 23:08:39,711] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:08:39,711] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:08:39,712] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:08:39,713] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:08:39,715] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:08:41,722] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:08:41,726] [INFO] Successfully connected to Arduino
[2025-02-22 23:08:41,727] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:08:41,859] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:08:44,068] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:08:44,069] [INFO] Admin button pressed
[2025-02-22 23:08:44,070] [INFO] Calling admin callback
[2025-02-22 23:10:54,818] [INFO] STARTUP: Application starting
[2025-02-22 23:10:57,447] [DEBUG] SumatraPDF not found in registry
[2025-02-22 23:10:57,448] [INFO] Found SumatraPDF at: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:10:57,448] [INFO] PDFPrinter initialized with printer: EPSON L120 Series
[2025-02-22 23:10:57,448] [INFO] SumatraPDF path: C:\Users\Waren\AppData\Local\SumatraPDF\SumatraPDF.exe
[2025-02-22 23:10:57,450] [INFO] Connecting to Arduino on port COM4
[2025-02-22 23:10:59,455] [WARNING] Unexpected response from Arduino: PisoPrint Arduino Ready
[2025-02-22 23:10:59,457] [INFO] Successfully connected to Arduino
[2025-02-22 23:10:59,458] [INFO] STARTUP: Application initialized and ready
[2025-02-22 23:10:59,569] [DEBUG] Received from Arduino: PONG
[2025-02-22 23:11:05,394] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:05,394] [INFO] Admin button pressed
[2025-02-22 23:11:05,395] [INFO] Calling admin callback
[2025-02-22 23:11:18,257] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:18,257] [INFO] Admin button pressed
[2025-02-22 23:11:18,258] [INFO] Calling admin callback
[2025-02-22 23:11:19,081] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:19,081] [INFO] Admin button pressed
[2025-02-22 23:11:19,082] [INFO] Calling admin callback
[2025-02-22 23:11:19,563] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:19,564] [INFO] Admin button pressed
[2025-02-22 23:11:19,564] [INFO] Calling admin callback
[2025-02-22 23:11:20,240] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:20,240] [INFO] Admin button pressed
[2025-02-22 23:11:20,242] [INFO] Calling admin callback
[2025-02-22 23:11:21,420] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:21,421] [INFO] Admin button pressed
[2025-02-22 23:11:21,422] [INFO] Calling admin callback
[2025-02-22 23:11:22,161] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:22,162] [INFO] Admin button pressed
[2025-02-22 23:11:22,163] [INFO] Calling admin callback
[2025-02-22 23:11:23,006] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:23,006] [INFO] Admin button pressed
[2025-02-22 23:11:23,007] [INFO] Calling admin callback
[2025-02-22 23:11:23,649] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:23,649] [INFO] Admin button pressed
[2025-02-22 23:11:23,650] [INFO] Calling admin callback
[2025-02-22 23:11:24,306] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:24,307] [INFO] Admin button pressed
[2025-02-22 23:11:24,308] [INFO] Calling admin callback
[2025-02-22 23:11:24,950] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:24,951] [INFO] Admin button pressed
[2025-02-22 23:11:24,954] [INFO] Calling admin callback
[2025-02-22 23:11:25,606] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:25,606] [INFO] Admin button pressed
[2025-02-22 23:11:25,611] [INFO] Calling admin callback
[2025-02-22 23:11:26,475] [DEBUG] Received from Arduino: ADMIN:1
[2025-02-22 23:11:26,475] [INFO] Admin button pressed
